GCB-025 full Glazed reindex started at 2026-05-03T18:23:06-04:00
repo=/home/manuel/code/wesen/corporate-headquarters/glazed
db=/home/manuel/code/wesen/corporate-headquarters/codebase-browser/glazed-full-gcb025.db
parallelism=5
binary=codebase-browser version dev
  [commits 188/1577] 5e1b45a
  [commits 189/1577] ae65d0f
  [commits 190/1577] ad4e0a5
  [commits 191/1577] 9a2eb75
  [commits 192/1577] 255f477
  [commits 193/1577] 7572939
  [commits 194/1577] 2d2213b
  [commits 195/1577] 9708ee3
  [commits 196/1577] f974c24
  [commits 197/1577] 5bca903
  [commits 198/1577] 2279572
  [commits 199/1577] 46bfb55
  [commits 200/1577] dd5afc2
  [commits 201/1577] 31f39bc
  [commits 202/1577] 4ee64d4
  [commits 203/1577] 991d8bf
  [commits 204/1577] bf7c5b3
  [commits 205/1577] d1ba4af
  [commits 206/1577] f5e6cef
  [commits 207/1577] a24c296
  [commits 208/1577] 1e0ab17
  [commits 209/1577] e69afcb
  [commits 210/1577] ad98867
  [commits 211/1577] d33886c
  [commits 212/1577] 3a767e5
  [commits 213/1577] ae88593
  [commits 214/1577] 0d9583c
  [commits 215/1577] 278269e
  [commits 216/1577] 8ec0697
  [commits 217/1577] 9fbf312
  [commits 218/1577] d58e19e
  [commits 219/1577] 0ab2d15
  [commits 220/1577] 3975aef
  [commits 221/1577] cfa4dee
  [commits 222/1577] a14673c
  [commits 223/1577] 7a64279
  [commits 224/1577] b785a2f
  [commits 225/1577] 635a831
  [commits 226/1577] 0ac9853
  [commits 227/1577] e3c4a02
  [commits 228/1577] 404e09f
  [commits 229/1577] ff3cf80
  [commits 230/1577] efaf0fd
  [commits 231/1577] 73649a7
  [commits 232/1577] 803014f
  [commits 233/1577] 9d163fd
  [commits 234/1577] 59b47c7
  [commits 235/1577] 3ee7a96
  [commits 236/1577] 9f97e98
  [commits 237/1577] a41a0f5
  [commits 238/1577] 8d3b0f9
  [commits 239/1577] 0f0a46e
  [commits 240/1577] 353a102
  [commits 241/1577] 6ac7df6
  [commits 242/1577] 4e0f14f
  [commits 243/1577] 1d3f60f
  [commits 244/1577] 7f5fbb3
  [commits 245/1577] 206f461
  [commits 246/1577] fd2877b
  [commits 247/1577] 3586f36
  [commits 248/1577] 11f358d
  [commits 249/1577] c3f1023
  [commits 250/1577] 3685cc5
  [commits 251/1577] a0b4e90
  [commits 252/1577] 7ad70d8
  [commits 253/1577] 56dfd3d
  [commits 254/1577] 8fcabac
  [commits 255/1577] c76ce17
  [commits 256/1577] 7b9f9cc
  [commits 257/1577] cebc160
  [commits 258/1577] 24b5bbe
  [commits 259/1577] e455738
  [commits 260/1577] c474ac5
  [commits 261/1577] 88d5a39
  [commits 262/1577] 00d5fed
  [commits 263/1577] 37b787d
  [commits 264/1577] 8a9c26e
  [commits 265/1577] 46aa4e7
  [commits 266/1577] 215ef84
  [commits 267/1577] 6844cbf
  [commits 268/1577] 50db9f3
  [commits 269/1577] 5aa6a7b
  [commits 270/1577] 5766e46
  [commits 271/1577] 7874112
  [commits 272/1577] 2a42a04
  [commits 273/1577] 1e1e79f
  [commits 274/1577] a5f5e1f
  [commits 275/1577] 52c5ead
  [commits 276/1577] 1480995
  [commits 277/1577] 4368f2e
  [commits 278/1577] 2425fdd
  [commits 279/1577] 82064e0
  [commits 280/1577] 072de81
  [commits 281/1577] 24d7f57
  [commits 282/1577] e4cd9f3
  [commits 283/1577] 778ca09
  [commits 284/1577] bf850ec
  [commits 285/1577] fadcbab
  [commits 286/1577] 14d6e31
  [commits 287/1577] 140fae2
  [commits 288/1577] 6334890
  [commits 289/1577] 6ef6845
  [commits 290/1577] 8feeada
  [commits 291/1577] 132c939
  [commits 292/1577] 21c58e1
  [commits 293/1577] b54c251
  [commits 294/1577] 6c3d8e3
  [commits 295/1577] a8a2f8c
  [commits 296/1577] 34733d3
  [commits 297/1577] fa9138c
  [commits 298/1577] 4a08ca2
  [commits 299/1577] f1327e8
  [commits 300/1577] 65acb12
  [commits 301/1577] 3ea1f83
  [commits 302/1577] 5a56a49
  [commits 303/1577] ea6043b
  [commits 304/1577] 8f3603a
  [commits 305/1577] 141e345
  [commits 306/1577] b51165a
  [commits 307/1577] 4ac8a48
  [commits 308/1577] 6936348
  [commits 309/1577] 1291a92
  [commits 310/1577] 9d2e3c0
  [commits 311/1577] d8bf22c
  [commits 312/1577] a448fb9
  [commits 313/1577] 6b8daf8
  [commits 314/1577] 6459ef2
  [commits 315/1577] 6616aee
  [commits 316/1577] 6aa65cf
  [commits 317/1577] fd80c2b
  [commits 318/1577] bf446f3
  [commits 319/1577] b7518ff
  [commits 320/1577] 38cd8c4
  [commits 321/1577] c235158
  [commits 322/1577] c2d61f7
  [commits 323/1577] ea5d7dd
  [commits 324/1577] 72cfc63
  [commits 325/1577] 594780c
  [commits 326/1577] 070ea97
  [commits 327/1577] eaa2d0b
  [commits 328/1577] 3d52bc4
  [commits 329/1577] 067cd1b
  [commits 330/1577] a8fdb0d
  [commits 331/1577] 2ed5818
  [commits 332/1577] 9c37e8d
  [commits 333/1577] 47d1d6a
  [commits 334/1577] 1eeefe9
  [commits 335/1577] c324608
  [commits 336/1577] ff26b35
  [commits 337/1577] eb0b071
  [commits 338/1577] 9b8f852
  [commits 339/1577] b501ba6
  [commits 340/1577] 38c1f64
  [commits 341/1577] ce2caa6
  [commits 342/1577] 5812e5a
  [commits 343/1577] 4d36946
  [commits 344/1577] aa1af92
  [commits 345/1577] c84b2eb
  [commits 346/1577] 62078a5
  [commits 347/1577] 2210e75
  [commits 348/1577] ab66742
  [commits 349/1577] 8c9f170
  [commits 350/1577] c91f203
  [commits 351/1577] f62e695
  [commits 352/1577] 059f30d
  [commits 353/1577] 5376358
  [commits 354/1577] c4841e0
  [commits 355/1577] 0b32f44
  [commits 356/1577] 7a849f3
  [commits 357/1577] 7808a2e
  [commits 358/1577] 61ebe5d
  [commits 359/1577] 3662240
  [commits 360/1577] a4dced7
  [commits 361/1577] 79e7d31
  [commits 362/1577] 1aa76f7
  [commits 363/1577] fbc05d4
  [commits 364/1577] 670ff1a
  [commits 365/1577] 22c9659
  [commits 366/1577] 6cab295
  [commits 367/1577] 91b10b2
  [commits 368/1577] 66167f4
  [commits 369/1577] d452edc
  [commits 370/1577] 5b1abab
  [commits 371/1577] bf627f0
  [commits 372/1577] e8ab481
  [commits 373/1577] 3205712
  [commits 374/1577] f67637b
  [commits 375/1577] e6de85b
  [commits 376/1577] 6a03c60
  [commits 377/1577] 21c705d
  [commits 378/1577] 3f3771b
  [commits 379/1577] 5fc240e
  [commits 380/1577] 907593a
  [commits 381/1577] 7fa2a17
  [commits 382/1577] 8d34730
  [commits 383/1577] cdf85fd
  [commits 384/1577] e1a65ae
  [commits 385/1577] 9b468cf
  [commits 386/1577] c9ba053
  [commits 387/1577] ec7cc1f
  [commits 388/1577] 686c93d
  [commits 389/1577] 1f23d47
  [commits 390/1577] b95f3f8
  [commits 391/1577] 7988945
  [commits 392/1577] 26864fe
  [commits 393/1577] 1dfdd6b
  [commits 394/1577] d746002
  [commits 395/1577] 6da9f6e
  [commits 396/1577] d1718af
  [commits 397/1577] cf4de4c
  [commits 398/1577] abcf4ab
  [commits 399/1577] eb9cc65
  [commits 400/1577] a05de50
  [commits 401/1577] 1ab0753
  [commits 402/1577] 47c46a1
  [commits 403/1577] 81cee18
  [commits 404/1577] f1853e5
  [commits 405/1577] 38bb7c4
  [commits 406/1577] 00db393
  [commits 407/1577] d8cc93d
  [commits 408/1577] d05be4e
  [commits 409/1577] b0ba4be
  [commits 410/1577] 2adda3c
  [commits 411/1577] 29cae8f
  [commits 412/1577] 3644ffd
  [commits 413/1577] bdb1677
  [commits 414/1577] a018ca2
  [commits 415/1577] 39ce68e
  [commits 416/1577] c604bae
  [commits 417/1577] 689bbcb
  [commits 418/1577] 73e6d94
  [commits 419/1577] 2ecbdaa
  [commits 420/1577] 8d8e8ee
  [commits 421/1577] 6cd4bd2
  [commits 422/1577] 3bbe990
  [commits 423/1577] 0a7da2f
  [commits 424/1577] b7a6479
  [commits 425/1577] 16308a9
  [commits 426/1577] d871d96
  [commits 427/1577] 4eb5a16
  [commits 428/1577] 447d92e
  [commits 429/1577] a2cff4c
  [commits 430/1577] f03297e
  [commits 431/1577] b258d94
  [commits 432/1577] 5a26ebc
  [commits 433/1577] 7d4c4be
  [commits 434/1577] 18f50d1
  [commits 435/1577] baf175e
  [commits 436/1577] 8e48a84
  [commits 437/1577] 54adab5
  [commits 438/1577] 702c0c8
  [commits 439/1577] e871af4
  [commits 440/1577] 7d62a2f
  [commits 441/1577] 871c064
  [commits 442/1577] a93faf1
  [commits 443/1577] 7549946
  [commits 444/1577] a6916cb
  [commits 445/1577] a05af86
  [commits 446/1577] 60e746f
  [commits 447/1577] c1e890a
  [commits 448/1577] 82ac088
  [commits 449/1577] 855b6f8
  [commits 450/1577] 0c1b00c
  [commits 451/1577] 8f52532
  [commits 452/1577] c05649a
  [commits 453/1577] cd5c00f
  [commits 454/1577] 780b46c
  [commits 455/1577] d12230f
  [commits 456/1577] 4c3081e
  [commits 457/1577] 04a5586
  [commits 458/1577] ba7f16d
  [commits 459/1577] bb7495f
  [commits 460/1577] 157d25b
  [commits 461/1577] 62a3c4e
  [commits 462/1577] 2aa15d7
  [commits 463/1577] 7d41f8d
  [commits 464/1577] f45c859
  [commits 465/1577] 64b77d4
  [commits 466/1577] 6a2bdad
  [commits 467/1577] f768372
  [commits 468/1577] b635939
  [commits 469/1577] 0277f7c
  [commits 470/1577] ec23c5e
  [commits 471/1577] 064096e
  [commits 472/1577] 10a128c
  [commits 473/1577] 73c43ec
  [commits 474/1577] bf8d412
  [commits 475/1577] 1ca5e3a
  [commits 476/1577] 56d6710
  [commits 477/1577] ac97adc
  [commits 478/1577] 5afba7d
  [commits 479/1577] fed4ed0
  [commits 480/1577] 4dddb71
  [commits 481/1577] 1f9e2cc
  [commits 482/1577] 9bfdced
  [commits 483/1577] 6d8a43e
  [commits 484/1577] ef70a2a
  [commits 485/1577] 47bb9da
  [commits 486/1577] eab06fd
  [commits 487/1577] 159cc80
  [commits 488/1577] d3df129
  [commits 489/1577] 1691300
  [commits 490/1577] 2c2c92e
  [commits 491/1577] e65b4b9
  [commits 492/1577] b4ec3dc
  [commits 493/1577] b8e4274
  [commits 494/1577] 8a2094e
  [commits 495/1577] bb28a7e
  [commits 496/1577] d37307c
  [commits 497/1577] 3fbf3b8
  [commits 498/1577] cd3814c
  [commits 499/1577] 9ec4e6c
  [commits 500/1577] 34be43f
  [commits 501/1577] 0f2619d
  [commits 502/1577] 4824ee3
  [commits 503/1577] 0fb07ba
  [commits 504/1577] a9c7bf8
  [commits 505/1577] a2ec438
  [commits 506/1577] 321020f
  [commits 507/1577] fdd9860
  [commits 508/1577] db4580f
  [commits 509/1577] a9e6eb8
  [commits 510/1577] 2893a2b
  [commits 511/1577] f55f92f
  [commits 512/1577] 57301d9
  [commits 513/1577] e5f74ef
  [commits 514/1577] 31c08a3
  [commits 515/1577] 8e4aab1
  [commits 516/1577] b5e769a
  [commits 517/1577] 452581d
  [commits 518/1577] eb440b1
  [commits 519/1577] 00782a9
  [commits 520/1577] 1a71a7b
  [commits 521/1577] b2dfaa8
  [commits 522/1577] 2d4f589
  [commits 523/1577] f961730
  [commits 524/1577] 575f2ea
  [commits 525/1577] 9c7a5fd
  [commits 526/1577] 8504d51
  [commits 527/1577] 1e6c42b
  [commits 528/1577] e0fcaef
  [commits 529/1577] 0a5d4fb
  [commits 530/1577] 20d6294
  [commits 531/1577] c98e77c
  [commits 532/1577] b713e85
  [commits 533/1577] 1c05bfc
  [commits 534/1577] 45fd090
  [commits 535/1577] 3202098
  [commits 536/1577] 87c0560
  [commits 537/1577] e144ef9
  [commits 538/1577] 85685b5
  [commits 539/1577] af568ef
  [commits 540/1577] 8121849
  [commits 541/1577] 8cc7eaf
  [commits 542/1577] 42e1b60
  [commits 543/1577] 3326167
  [commits 544/1577] a8f27f8
  [commits 545/1577] e034659
  [commits 546/1577] e61b88b
  [commits 547/1577] 742bf7d
  [commits 548/1577] 62a69d9
  [commits 549/1577] 2919358
  [commits 550/1577] f378e01
  [commits 551/1577] cd5d36d
  [commits 552/1577] 0d33262
  [commits 553/1577] dd4569b
  [commits 554/1577] 94a4b4b
  [commits 555/1577] 54fe37e
  [commits 556/1577] 8a6e24c
  [commits 557/1577] 6e4cfe0
  [commits 558/1577] f48ac6b
  [commits 559/1577] d515197
  [commits 560/1577] 222a601
  [commits 561/1577] b86228c
  [commits 562/1577] f82ae1d
  [commits 563/1577] e6d605a
  [commits 564/1577] c118afa
  [commits 565/1577] 2177f92
  [commits 566/1577] 0dc3962
  [commits 567/1577] aa45320
  [commits 568/1577] cfceea5
  [commits 569/1577] 3bf5a50
  [commits 570/1577] c61404a
  [commits 571/1577] cbac187
  [commits 572/1577] 262f5df
  [commits 573/1577] bc21815
  [commits 574/1577] 4f5cd4b
  [commits 575/1577] fbf2939
  [commits 576/1577] 70bf7c5
  [commits 577/1577] f640f6d
  [commits 578/1577] 4b93e0c
  [commits 579/1577] 18ee1f5
  [commits 580/1577] d558e90
  [commits 581/1577] bc04a3e
  [commits 582/1577] 42441d1
  [commits 583/1577] 26a5c5a
  [commits 584/1577] 8ece544
  [commits 585/1577] 742d229
  [commits 586/1577] b4ed639
  [commits 587/1577] 22cf4a1
  [commits 588/1577] 164439c
  [commits 589/1577] 74539cd
  [commits 590/1577] 5dd8f6c
  [commits 591/1577] 2bb61e9
  [commits 592/1577] a06da01
  [commits 593/1577] 04d134a
  [commits 594/1577] 8c4e245
  [commits 595/1577] 8b0b7ad
  [commits 596/1577] 4c0df1f
  [commits 597/1577] e0196d9
  [commits 598/1577] ea19be5
  [commits 599/1577] 9eb8f21
  [commits 600/1577] 2679037
  [commits 601/1577] a7319ee
  [commits 602/1577] ad04db6
  [commits 603/1577] f9be5f0
  [commits 604/1577] 7d4891f
  [commits 605/1577] 3ec222e
  [commits 606/1577] ba32b02
  [commits 607/1577] d281726
  [commits 608/1577] aa8e1fc
  [commits 609/1577] f2006f5
  [commits 610/1577] 6e41151
  [commits 611/1577] a4716a2
  [commits 612/1577] f2fe68d
  [commits 613/1577] 5e3e319
  [commits 614/1577] 2686e93
  [commits 615/1577] d56242b
  [commits 616/1577] daf018f
  [commits 617/1577] f71342d
  [commits 618/1577] ebced96
  [commits 619/1577] 60cd5a8
  [commits 620/1577] 5dc8134
  [commits 621/1577] f5483b0
  [commits 622/1577] 9d5ca29
  [commits 623/1577] bf14b71
  [commits 624/1577] 3d3c1b7
  [commits 625/1577] 5bc8f89
  [commits 626/1577] 4964948
  [commits 627/1577] 85c5a74
  [commits 628/1577] cf84e01
  [commits 629/1577] d618bb1
  [commits 630/1577] 8acd1f1
  [commits 631/1577] 7416509
  [commits 632/1577] bea3e1d
  [commits 633/1577] e3df890
  [commits 634/1577] 253d716
  [commits 635/1577] e287e40
  [commits 636/1577] 7249826
  [commits 637/1577] 1c9e3ee
  [commits 638/1577] 6276d0c
  [commits 639/1577] 8fbe04d
  [commits 640/1577] 5dab038
  [commits 641/1577] 7e9a5cb
  [commits 642/1577] 8bb0ccb
  [commits 643/1577] f8b32a9
  [commits 644/1577] b704037
  [commits 645/1577] c093d53
  [commits 646/1577] 145f777
  [commits 647/1577] bc41f21
  [commits 648/1577] e801767
  [commits 649/1577] fa495c2
  [commits 650/1577] 3a83cd6
  [commits 651/1577] d6338a0
  [commits 652/1577] 27e1d8e
  [commits 653/1577] ef71c0b
  [commits 654/1577] 20402e5
  [commits 655/1577] ac39099
  [commits 656/1577] f1ca056
  [commits 657/1577] 0afc9ae
  [commits 658/1577] dd68d22
  [commits 659/1577] d6ff92b
  [commits 660/1577] f225f71
  [commits 661/1577] 0ac1771
  [commits 662/1577] 5c0b414
  [commits 663/1577] 053558f
  [commits 664/1577] 1b27673
  [commits 665/1577] 9e42102
  [commits 666/1577] 696671e
  [commits 667/1577] 82d0ea4
  [commits 668/1577] 83ced28
  [commits 669/1577] 5d85982
  [commits 670/1577] da6303d
  [commits 671/1577] 6ee3f70
  [commits 672/1577] 39bb2af
  [commits 673/1577] 5a26ea9
  [commits 674/1577] ec2e854
  [commits 675/1577] 949a924
  [commits 676/1577] 0f53001
  [commits 677/1577] 36ed6a8
  [commits 678/1577] 8f5649e
  [commits 679/1577] 916d781
  [commits 680/1577] 627a1ac
  [commits 681/1577] f0fc752
  [commits 682/1577] b2906e9
  [commits 683/1577] e180e5d
  [commits 684/1577] a5d5f6f
  [commits 685/1577] 01302b5
  [commits 686/1577] 4eaab51
  [commits 687/1577] 9eb1c29
  [commits 688/1577] 354fbcf
  [commits 689/1577] 5c3b67b
  [commits 690/1577] 636cf3f
  [commits 691/1577] 78c4122
  [commits 692/1577] 905ac62
  [commits 693/1577] 5d39f95
  [commits 694/1577] 4fca506
  [commits 695/1577] fbca878
  [commits 696/1577] 5112bfe
  [commits 697/1577] 3855de2
  [commits 698/1577] 73183ed
  [commits 699/1577] 0690f57
  [commits 700/1577] d7c87de
  [commits 701/1577] 8f8b520
  [commits 702/1577] 592109e
  [commits 703/1577] 049782c
  [commits 704/1577] c8670bd
  [commits 705/1577] 6fbf478
  [commits 706/1577] b6dd0bf
  [commits 707/1577] 57a7af4
  [commits 708/1577] 883d1c4
  [commits 709/1577] 08c5563
  [commits 710/1577] e78c6d2
  [commits 711/1577] 5d84ebc
  [commits 712/1577] 3337e07
  [commits 713/1577] 69f6d96
  [commits 714/1577] aae1275
  [commits 715/1577] 685bf8d
  [commits 716/1577] 9f8f91a
  [commits 717/1577] 9440223
  [commits 718/1577] ec5d817
